date,总资产收益率(ROA),毛利率(GM),净利润率,净资产收益率(ROE),资本回报率(ROIC)
2026-03-31,0.0648,0.789,0.2808,0.0957,0.0956
2025-12-31,0.0493,0.7754,0.2299,0.0721,0.072
2025-09-30,0.0774,0.7626,0.2705,0.104,0.1039
2025-06-30,0.0938,0.7711,0.2941,0.1388,0.1385
2025-03-31,0.1212,0.7687,0.3249,0.1611,0.1607
2024-12-31,0.1877,0.7705,0.3722,0.247,0.2465
2024-09-30,0.2079,0.7672,0.3793,0.255,0.2542
2024-06-30,0.1994,0.7619,0.3795,0.2644,0.2632
2024-03-31,0.1938,0.7592,0.38,0.2388,0.2378
2023-12-31,0.1982,0.7579,0.3785,0.2531,0.2527
2023-09-30,0.2153,0.7538,0.3821,0.2633,0.263
2023-06-30,0.213,0.7542,0.3823,0.2656,0.2652
2023-03-31,0.1992,0.7556,0.383,0.245,0.2446
2022-12-31,0.194,0.7542,0.3781,0.2565,0.256
2022-09-30,0.2158,0.759,0.3777,0.2666,0.2664
2022-06-30,0.208,0.7647,0.3751,0.2702,0.2699
2022-03-31,0.2023,0.7619,0.3758,0.2482,0.248
2021-12-31,0.1964,0.7535,0.3702,0.2591,0.2587
2021-09-30,0.2186,0.7476,0.3696,0.2694,0.2683
2021-06-30,0.2136,0.7444,0.3694,0.2768,0.2754
2021-03-31,0.2006,0.7428,0.3686,0.2492,0.2492
2020-12-31,0.1899,0.7416,0.3648,0.2553,0.2553
2020-09-30,0.211,0.7495,0.3662,0.2656,0.2656
2020-06-30,0.2169,0.7483,0.3683,0.2712,0.2712
2020-03-31,0.1954,0.7481,0.3691,0.2504,0.2504
2019-12-31,0.1894,0.7446,0.3637,0.2582,0.2582
2019-09-30,0.2037,0.7401,0.3592,0.2605,0.2605
2019-06-30,0.1944,0.7426,0.358,0.2596,
2019-03-31,0.1802,0.7479,0.3576,0.2382,
2018-12-31,0.1788,0.738,0.3507,0.2344,0.2344
2018-09-30,0.1798,0.7368,0.3413,0.2265,
2018-06-30,0.1706,0.7266,0.3435,0.2282,
2018-03-31,0.1567,0.7293,0.3408,0.2067,
2017-12-31,0.1516,0.7201,0.3341,0.1961,
2017-09-30,0.1428,0.7093,0.3131,0.1836,
2017-06-30,0.1322,0.7114,0.3055,0.1728,
2017-03-31,0.1209,0.7045,0.3009,0.1569,
2016-12-31,0.123,0.702,0.2875,0.1525,
2016-09-30,0.1276,0.6986,0.286,0.1555,
