date,总资产收益率(ROA),毛利率(GM),净资产收益率(ROE),资本回报率(ROIC),净利润率
2026-03-31,0.4824,0.4807,0.7067,0.7057,0.3692
2025-12-31,0.5009,0.4781,0.7239,0.7227,0.3846
2025-09-30,0.4823,0.4741,0.6959,0.6937,0.3755
2025-06-30,0.4485,0.4673,0.6451,0.6417,0.3616
2025-03-31,0.368,0.4636,0.5196,0.5164,0.3526
2024-12-31,0.3034,0.4472,0.4115,0.4085,0.3282
2024-09-30,0.2396,0.4142,0.3101,0.3078,0.3102
2024-06-30,0.1783,0.3872,0.2238,0.2209,0.2799
2024-03-31,0.1374,0.3388,0.1686,0.1665,0.2507
2023-12-31,0.1118,0.3099,0.1337,0.132,0.2222
2023-09-30,0.0973,0.3189,0.1157,0.1138,0.1913
2023-06-30,0.1278,0.3502,0.1551,0.1522,0.233
2023-03-31,0.1624,0.3699,0.1947,0.1926,0.2771
2022-12-31,0.1683,0.3666,0.2056,0.2033,0.2729
2022-09-30,0.1877,0.3453,0.2266,0.2245,0.2904
2022-06-30,0.1611,0.3263,0.1994,0.1976,0.2716
2022-03-31,0.147,0.3274,0.1783,0.1783,0.2256
2021-12-31,0.1458,0.3217,0.1788,0.1771,0.2276
2021-09-30,0.1749,0.3237,0.2258,0.2211,0.2383
2021-06-30,0.1943,0.3443,0.2421,0.24,0.2396
2021-03-31,0.1815,0.3537,0.2216,0.2219,0.2329
2020-12-31,0.1672,0.3686,0.2061,0.2033,0.2461
2020-09-30,0.2112,0.3817,0.2918,0.2815,0.2303
2020-06-30,0.1856,0.3742,0.2412,0.2367,0.2126
2020-03-31,0.1488,0.3578,0.1849,0.1849,0.1954
2019-12-31,0.1398,0.3472,0.1728,0.1728,0.1827
2019-09-30,0.1102,0.31,0.1365,0.1366,0.1599
2019-06-30,0.0927,0.275,0.1134,,0.1412
2019-03-31,0.0491,0.2332,0.06,,0.0842
2018-12-31,0.0229,0.1951,0.0286,0.0285,0.0419
2018-09-30,0.0147,0.1766,0.0184,,0.0265
2018-06-30,0.0259,0.191,0.0318,,0.0425
2018-03-31,0.0598,0.218,0.0733,,0.0899
2017-12-31,0.0855,0.24,0.1067,,0.1266
2017-09-30,0.0961,0.2522,0.1193,,0.1402
2017-06-30,0.1001,0.2632,0.1213,,0.1483
2017-03-31,0.098,0.2648,0.1174,,0.1498
2016-12-31,0.1117,0.2637,0.1384,,0.1475
2016-09-30,,0.272,,,0.1535
2016-06-30,,0.2617,,,0.1415
