date,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值
2026-04-21,13.8125,0.0041,33.2202,25.0581,16.9217,2.9643,0.0511,7.6032,5.1542,3.4609,0.0568,4.7776,0.0091,11.2326,8.3946,5.6511,2.9644,0.0511,7.6034,5.1544,3.4610,13.8268,0.0041,33.1417,25.1000,17.0046
2026-04-20,13.8357,0.0041,33.2202,25.0581,16.9217,2.9693,0.0511,7.6032,5.1542,3.4609,0.0567,4.7856,0.0091,11.2326,8.3946,5.6511,2.9693,0.0511,7.6034,5.1544,3.4610,13.8500,0.0041,33.1417,25.1000,17.0046
2026-04-17,13.9054,0.0041,33.2202,25.0581,16.9217,2.9843,0.0511,7.6032,5.1542,3.4609,0.0564,4.8097,0.0091,11.2326,8.3946,5.6511,2.9843,0.0511,7.6034,5.1544,3.4610,13.9197,0.0041,33.1417,25.1000,17.0046
2026-04-16,14.1211,0.0041,33.2202,25.0581,16.9217,3.0305,0.0511,7.6032,5.1542,3.4609,0.0556,4.8843,0.0091,11.2326,8.3946,5.6511,3.0306,0.0511,7.6034,5.1544,3.4610,14.1356,0.0041,33.1417,25.1000,17.0046
2026-04-15,14.1361,0.0041,33.2202,25.0581,16.9217,3.0338,0.0511,7.6032,5.1542,3.4609,0.0555,4.8895,0.0091,11.2326,8.3946,5.6511,3.0338,0.0511,7.6034,5.1544,3.4610,14.1507,0.0041,33.1417,25.1000,17.0046
2026-04-14,14.0746,0.0041,33.2202,25.0581,16.9217,3.0206,0.0511,7.6032,5.1542,3.4609,0.0557,4.8682,0.0091,11.2326,8.3946,5.6511,3.0206,0.0511,7.6034,5.1544,3.4610,14.0892,0.0041,33.1417,25.1000,17.0046
2026-04-13,13.9818,0.0041,33.2202,25.0581,16.9217,3.0007,0.0511,7.6032,5.1542,3.4609,0.0561,4.8361,0.0091,11.2326,8.3946,5.6511,3.0007,0.0511,7.6034,5.1544,3.4610,13.9963,0.0041,33.1417,25.1000,17.0046
2026-04-10,13.9340,0.0041,33.2202,25.0581,16.9217,2.9904,0.0511,7.6032,5.1542,3.4609,0.0563,4.8196,0.0091,11.2326,8.3946,5.6511,2.9904,0.0511,7.6034,5.1544,3.4610,13.9484,0.0041,33.1417,25.1000,17.0046
2026-04-09,14.0064,0.0041,33.2202,25.0581,16.9217,3.0059,0.0511,7.6032,5.1542,3.4609,0.0560,4.8446,0.0091,11.2326,8.3946,5.6511,3.0060,0.0511,7.6034,5.1544,3.4610,14.0208,0.0041,33.1417,25.1000,17.0046
2026-04-08,14.2234,0.0041,33.2202,25.0581,16.9217,3.0525,0.0511,7.6032,5.1542,3.4609,0.0552,4.9197,0.0091,11.2326,8.3946,5.6511,3.0526,0.0511,7.6034,5.1544,3.4610,14.2381,0.0041,33.1417,25.1000,17.0046
2026-04-07,14.0760,0.0041,33.2202,25.0581,16.9217,3.0209,0.0511,7.6032,5.1542,3.4609,0.0557,4.8687,0.0091,11.2326,8.3946,5.6511,3.0209,0.0511,7.6034,5.1544,3.4610,14.0905,0.0041,33.1417,25.1000,17.0046
